transaction_id,customer_id,transaction_date,product_id,quantity,unit_price,payment_method,discount_applied,transaction_status,review_text,name,age,gender,state,signup_date,email,phone_number,subscribe
TX_0000003568,CUST0429,2024-12-29,WZ-802,30,448000,Credit Card,6.0,Completed,"honest seller, item as described",Hendri,41.0,Male,DI Yogyakarta,2024-08-15,margana84@example.net,8303439050,Yes
TX_0000001323,CUST0165,2025-09-20,LE-969,31,326000,E-wallet,7.0,Completed,"honest seller, item as described",Pangeran,58.0,Male,Kepulauan Bangka Belitung,2025-09-20,ranggamaulana@example.net,8556607041,Yes
TX_0000007976,CUST0969,2025-09-19,CR-562,22,326000,E-wallet,8.0,Completed,"honest seller, item as described",Sabrina,21.0,Female,Maluku,2025-09-19,mustikaprasasta@example.com,8779287014,Yes
TX_0000002408,CUST0293,2025-04-23,BL-316,38,418000,Credit Card,42.0,Completed,"honest seller, item as described",Abyasa,50.0,Male,Aceh,2025-04-12,wibisonocaraka@example.com,8436160362,Yes
TX_0000004435,CUST0537,2025-08-28,KL-203,3,15000,E-wallet,27.0,Completed,"honest seller, item as described",Wardaya,58.0,Male,Kalimantan Timur,2024-02-15,wardaya_49@example.com,220775142614,No
TX_0000005447,CUST0661,2025-09-22,QQ-301,19,321000,Cash,4.0,Completed,"honest seller, item as described",Puji,32.0,Female,DI Yogyakarta,2025-09-05,puji_62@example.com,82263520270,Yes
TX_0000005447,CUST0661,2025-09-22,QQ-301,19,321000,Cash,4.0,Completed,"honest seller, item as described",Puji,32.0,Female,DI Yogyakarta,2025-09-05,puji_62@example.com,82263520270,Yes
TX_0000003024,CUST0370,2025-02-10,GW-908,21,473000,Bank Transfer,40.0,Completed,"honest seller, item as described",Kiandra,55.0,Female,Banten,2025-02-07,572kiandra@example.com,8772086268,No
TX_0000001534,CUST0193,2025-06-19,GF-891,7,329000,Credit Card,12.0,Completed,very slow shipping,Kasiyah,45.0,Female,Sulawesi Barat,2025-04-28,537kasiyah@example.com,8096683515,No
TX_0000000264,CUST0033,2025-01-16,ON-125,40,105000,Debit Card,40.0,Completed,"honest seller, item as described",Raden,47.0,Male,Kalimantan Selatan,2023-11-16,raden_6@example.com,8448856016,Yes
TX_0000000744,CUST0093,2024-10-27,EC-962,30,161000,Debit Card,16.0,Completed,"honest seller, item as described",Syahrini,34.0,Female,Banten,2024-07-14,hariputra@example.com,87412241378,Yes
TX_0000003860,CUST0462,2025-08-28,IM-080,19,187000,Bank Transfer,47.0,Completed,"honest seller, item as described",Anita,47.0,Female,Banten,2025-06-23,anita_19@example.com,818292192,No
TX_0000007460,CUST0904,2024-09-30,WD-572,15,368000,Bank Transfer,26.0,Completed,"honest seller, item as described",Dewi,28.0,Female,Sumatera Utara,2024-04-03,jmelani@example.com,83567852065,Yes
TX_0000005763,CUST0696,2025-07-23,BC-170,40,39000,Cash,46.0,Completed,"honest seller, item as described",Melinda,65.0,Female,Jambi,2024-01-05,sinagamahesa@example.org,82287594507,Yes
TX_0000004195,CUST0508,2024-11-28,ZK-154,24,160000,Cash,46.0,Completed,"honest seller, item as described",Cindy,31.0,Female,Aceh,2024-08-26,cindy_92@example.com,8157123413,Yes
TX_0000004127,CUST0501,2025-01-03,QJ-620,24,103000,Debit Card,0.0,Completed,a bit expensive but worth the quality,Rizki,33.0,Male,Kalimantan Tengah,2024-11-23,cinthiaadriansyah@example.org,816417363,Yes
TX_0000001704,CUST0210,2025-01-26,SX-681,32,176000,Cash,25.0,Completed,"honest seller, item as described",Gamanto,63.0,Male,Jawa Tengah,2023-10-12,gamanto891@example.com,80338818657,Yes
TX_0000006700,CUST0811,2025-09-07,DY-596,20,211000,E-wallet,12.0,Completed,"amazing product, exceeds expectations",Nilam,48.0,Female,Kalimantan Barat,2025-08-02,hasnauwais@example.org,82375631588,Yes
TX_0000008049,CUST0980,2025-03-20,FA-173,7,133000,Credit Card,46.0,Completed,"honest seller, item as described",Michelle,18.0,Female,Sumatera Barat,2024-07-09,668michelle@example.com,8060027190,No
TX_0000005168,CUST0624,2024-10-25,CS-132,31,390000,Cash,25.0,Completed,"honest seller, item as described",Saiful,58.0,Male,Kepulauan Bangka Belitung,2024-04-10,xpradana@example.org,81432596102,Yes
TX_0000005499,CUST0667,2025-03-12,GD-567,37,27000,E-wallet,26.0,Pending,"honest seller, item as described",Balijan,25.0,Male,Gorontalo,2024-11-27,ksuryatmi@example.net,220775142614,Yes
TX_0000004782,CUST0576,2025-03-11,MN-198,33,281000,Cash,44.0,Completed,product matches description,Paulin,45.0,Female,Kalimantan Timur,2023-11-11,mulyaniendra@example.net,8258644049,Yes
TX_0000006422,CUST0777,2025-08-31,NX-179,27,392000,Credit Card,6.0,Pending,"honest seller, item as described",Icha,62.0,Female,Kalimantan Utara,2024-12-11,yhalimah@example.net,81345990329,Yes
TX_0000005181,CUST0626,2025-01-16,SV-880,25,148000,E-wallet,1.0,Completed,"honest seller, item as described",Ida,21.0,Female,Kalimantan Selatan,2024-08-21,usadamila@example.org,89782150978,Yes
TX_0000004837,CUST0583,2025-03-22,EK-900,21,321000,Credit Card,5.0,Completed,"honest seller, item as described",Gilda,53.0,Female,Aceh,2023-12-05,jumarisafitri@example.org,220775142614,Yes
TX_0000000801,CUST0101,2024-11-22,KK-056,10,163000,Bank Transfer,36.0,Completed,"honest seller, item as described",Unjani,44.0,Female,Bengkulu,2024-08-25,pangestu31@example.com,220775142614,No
TX_0000004662,CUST0559,2025-07-23,WJ-796,34,421000,Credit Card,10.0,Completed,"honest seller, item as described",Chandra,32.0,Male,Riau,2025-06-15,445chandra@example.com,841150898,Yes
TX_0000004886,CUST0588,2024-04-11,AX-943,8,378000,Cash,31.0,Completed,"item damaged upon arrival, disappointed",Elisa,62.0,Female,Jawa Timur,2023-10-12,sidiqmaryadi@example.org,220775142614,No
TX_0000005585,CUST0679,2025-09-22,IU-155,9,371000,Credit Card,35.0,Completed,"honest seller, item as described",Jayadi,46.0,Male,Kepulauan Bangka Belitung,2025-09-20,998jayadi@example.com,84642406422,No
TX_0000005585,CUST0679,2025-09-22,IU-155,9,371000,Credit Card,35.0,Completed,"honest seller, item as described",Jayadi,46.0,Male,Kepulauan Bangka Belitung,2025-09-20,998jayadi@example.com,84642406422,No
TX_0000008101,CUST0986,2025-09-10,QZ-213,31,314000,Bank Transfer,37.0,Completed,"honest seller, item as described",Wisnu,54.0,Male,Sulawesi Tengah,2025-06-25,dnurdiyanti@example.org,87006634411,Yes
TX_0000002132,CUST0261,2025-09-04,AK-139,24,408000,E-wallet,14.0,Completed,won't buy here again,Zahra,59.0,Female,Sumatera Utara,2025-04-07,zahra57@example.com,8886360522,Yes
